movie,year,rating,genre,imdb,votes,grosses,runtime_min
Bull,16– ,,[''],7.0,14036.0,,60
That '70s Show,2006,,[''],8.1,151386.0,,22
Space Force,20– ,,[''],6.8,40014.0,,30
Crazy Rich Asians,2018,PG-13,"['Comedy', ' Drama', ' Romance']",6.9,133929.0,174532921.0,120
Barry,18– ,,[''],8.3,41612.0,,30
An American Pickle,2020,PG-13,['Comedy'],5.7,11387.0,,88
Ocean's Eight,2018,PG-13,"['Action', ' Comedy', ' Crime']",6.9,178273.0,140218711.0,110
The Politician,19– ,,[''],7.5,16838.0,,42
The French Dispatch,,R,"['Comedy', ' Drama', ' Romance']",,,,103
The Big Short,2015,R,"['Biography', ' Comedy', ' Drama']",7.8,350447.0,70259870.0,130
The Andy Griffith Show,1968,,[''],8.3,11821.0,,30
The Lost Boys,1987,,[''],7.3,121191.0,32222567.0,97
Love Actually,2003,R,"['Comedy', ' Drama', ' Romance']",7.6,416432.0,59696144.0,135
Naruto: Shippûden,2017,,[''],8.6,76215.0,,24
iZombie,2019,,[''],7.9,58982.0,,42
Full House,1995,,[''],6.7,51977.0,,22
Easy A,2010,PG-13,"['Comedy', ' Drama', ' Romance']",7.0,351247.0,58401464.0,92
Gravity Falls,2016,,[''],8.9,68100.0,,23
Hook,1991,,[''],6.8,230044.0,119654823.0,142
One Piece: Wan pîsu,99– ,,[''],8.7,62538.0,,24
Frozen,2013,PG,"['Animation', ' Adventure', ' Comedy']",7.4,561891.0,400738009.0,102
RED,2010,PG-13,"['Action', ' Comedy', ' Crime']",7.0,284964.0,90380162.0,111
Jumanji,1995,PG,"['Adventure', ' Comedy', ' Family']",7.0,300108.0,100475249.0,104
Mythic Quest: Raven's Banquet,20– ,,[''],7.6,6680.0,,0
Snatch,2000,R,"['Comedy', ' Crime']",8.3,768405.0,30328156.0,104
Due Date,2010,R,"['Comedy', ' Drama']",6.5,319909.0,100539043.0,95
Morning Glory,2010,PG-13,"['Comedy', ' Drama', ' Romance']",6.5,72545.0,31011732.0,107
Cats,2019,PG,"['Comedy', ' Drama', ' Family']",2.8,36386.0,,110
Dora and the Lost City of Gold,2019,PG,"['Adventure', ' Comedy', ' Family']",6.1,21886.0,54893567.0,102
Eureka,2012,,[''],7.9,47252.0,,60
Airplane!,1980,,[''],7.7,209442.0,83400000.0,88
A Rainy Day in New York,2019,PG-13,"['Comedy', ' Romance']",6.6,25769.0,,92
Grown Ups,2010,PG-13,['Comedy'],5.9,224727.0,162001186.0,102
Inside Out,2015,PG,"['Animation', ' Adventure', ' Comedy']",8.1,594927.0,356461711.0,95
After Life,19– ,,[''],8.4,78653.0,,30
About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",7.8,290829.0,15322921.0,123
Orígenes secretos,2020,,[''],6.1,3751.0,,96
Baywatch,2017,R,"['Action', ' Comedy', ' Crime']",5.5,156816.0,58060186.0,116
Clue,1985,,[''],7.3,79231.0,14643997.0,94
Cars,2006,,[''],7.1,359093.0,244082982.0,117
Grown Ups 2,2013,PG-13,['Comedy'],5.4,138008.0,133668525.0,101
Episodes,2017,,[''],7.8,32304.0,,30
Bad Education,2019,,[''],7.1,24987.0,,108
Legally Blonde,2001,,[''],6.3,180757.0,96520674.0,96
The Blues Brothers,1980,,[''],7.9,179417.0,57229890.0,133
D2: The Mighty Ducks,1994,PG,"['Comedy', ' Drama', ' Family']",6.1,35808.0,45610410.0,106
Zootopia,2016,PG,"['Animation', ' Adventure', ' Comedy']",8.0,422666.0,341268248.0,108
Love Life,20– ,,[''],7.4,4366.0,,0
Practical Magic,1998,PG-13,"['Comedy', ' Drama', ' Fantasy']",6.3,70746.0,46683377.0,104
Ant-Man,2015,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,555625.0,180202163.0,117
Back to the Future Part III,1990,,[''],7.4,395597.0,87727583.0,118
Room 104,2020,,[''],6.1,4841.0,,30
Pineapple Express,2008,R,"['Action', ' Comedy', ' Crime']",6.9,311743.0,87341380.0,111
Scooby-Doo,2002,PG,"['Adventure', ' Comedy', ' Family']",5.1,96864.0,153288182.0,89
La vita è bella,1997,PG-13,"['Comedy', ' Drama', ' Romance']",8.6,607857.0,57598247.0,116
