movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Back to the Future Part III,1990,,"['Adventure', ' Comedy', ' Sci-Fi']",7.4,55,395595,87727583.0,74,118
Overlord,2018,R,"['Action', ' Adventure', ' Horror']",6.6,60,81692,21704844.0,66,110
X: First Class,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.7,65,638009,146408305.0,77,131
Artemis Fowl,2020,PG,"['Adventure', ' Family', ' Fantasy']",4.2,31,18916,,42,95
Mortal Engines,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",6.1,44,101015,15951040.0,61,128
Jupiter Ascending,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.3,40,176523,47387723.0,53,127
Stargate,1994,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.1,42,172859,71565669.0,71,116
Passengers,2016,PG-13,"['Drama', ' Romance', ' Sci-Fi']",7.0,41,341596,100014699.0,70,116
Vanilla Sky,2001,R,"['Fantasy', ' Mystery', ' Romance']",6.9,45,245396,100614858.0,69,136
Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.9,82,572402,257730019.0,79,127
The Meg,2018,PG-13,"['Action', ' Horror', ' Sci-Fi']",5.6,46,144444,143005856.0,56,113
Synchronic,2019,,"['Drama', ' Horror', ' Sci-Fi']",6.7,61,499,,67,96
Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",6.4,63,160269,50287556.0,64,101
Fantastic Four,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",4.3,27,149659,56117548.0,43,100
Glass,2019,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",6.7,43,199042,111048468.0,67,129
Star Wars: Episode VII - The Force Awakens,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.9,80,846619,936662225.0,79,138
Batman & Robin,1997,PG-13,"['Action', ' Sci-Fi']",3.8,28,231087,107325195.0,38,125
Star Wars: Episode V - The Empire Strikes Back,1980,PG,"['Action', ' Adventure', ' Fantasy']",8.7,82,1135189,290475067.0,87,124
Godzilla: King of the Monsters,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",6.0,48,126206,110500138.0,60,132
Oblivion,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,54,477712,89021735.0,70,124
X-Men: Days of Future Past,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.9,75,651519,233921534.0,79,132
Bird Box,2018,R,"['Horror', ' Sci-Fi']",6.6,51,268375,,66,124
Don't Let Go,2019,R,"['Drama', ' Horror', ' Mystery']",6.2,49,4897,4686540.0,62,103
Kong: Skull Island,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",6.6,62,262707,168052812.0,66,118
Children of Men,2006,R,"['Adventure', ' Drama', ' Sci-Fi']",7.9,84,457586,35552383.0,79,109
Freaks,2018,R,"['Drama', ' Mystery', ' Sci-Fi']",6.7,63,24263,,67,105
The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",5.5,53,47277,6563605.0,55,104
Iron Man 2,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,57,708101,312433331.0,70,124
Splice,2009,R,"['Drama', ' Horror', ' Sci-Fi']",5.7,66,92443,16999046.0,57,104
X-Men Origins: Wolverine,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.6,40,460675,179883157.0,66,107
Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",6.6,66,142322,438653.0,66,84
Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",7.6,80,499923,132072926.0,76,145
Replicas,2018,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",5.5,19,29944,4046429.0,55,107
G.I. Joe: The Rise of Cobra,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.8,32,197218,152267519.0,58,118
The Lost World: Jurassic Park,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.6,59,372096,229086679.0,66,129
Super 8,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,72,334953,127004179.0,70,112
Mad Max,1979,,"['Action', ' Adventure', ' Sci-Fi']",6.9,73,188381,8750000.0,69,88
Transformers: The Last Knight,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.2,27,132628,130168683.0,52,154
The Lobster,2015,R,"['Comedy', ' Drama', ' Romance']",7.2,82,211141,8699235.0,72,119
Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,71,508088,250690539.0,73,98
Predator,1987,,"['Action', ' Adventure', ' Sci-Fi']",7.8,45,365497,59735548.0,78,107
Темная башня,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",5.6,34,124488,50701325.0,56,95
The Maze Runner,2014,PG-13,"['Action', ' Mystery', ' Sci-Fi']",6.8,57,409693,102427862.0,68,113
Cloud Atlas,2012,R,"['Action', ' Drama', ' Mystery']",7.4,55,340864,27108272.0,74,172
WALL·E,2008,,"['Animation', ' Adventure', ' Family']",8.4,95,977596,223808164.0,84,98
Spaceballs,1987,,"['Adventure', ' Comedy', ' Sci-Fi']",7.1,46,169200,38119483.0,71,96
The Incredible Hulk,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.7,61,427103,134518390.0,67,112
Life,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",6.6,54,203239,30234022.0,66,104
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",7.5,68,695931,380262555.0,75,140
Twelve Monkeys,1995,R,"['Mystery', ' Sci-Fi', ' Thriller']",8.0,74,569763,57141459.0,80,129
Bumblebee,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.8,66,132579,127195589.0,68,114
Dredd,2012,R,"['Action', ' Crime', ' Sci-Fi']",7.1,60,246891,13414714.0,71,95
Allegiant,2016,PG-13,"['Action', ' Adventure', ' Mystery']",5.7,33,106121,66184051.0,57,120
Rampage,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.1,45,138635,101028233.0,61,107
Insurgent,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.2,42,213732,130179072.0,62,119
Archive,2020,,"['Drama', ' Sci-Fi', ' Thriller']",6.3,67,5542,,63,109
I Am Legend,2007,PG-13,"['Action', ' Adventure', ' Drama']",7.2,65,675865,256386216.0,72,101
Star Wars: Episode VI - Return of the Jedi,1983,PG,"['Action', ' Adventure', ' Fantasy']",8.3,58,930536,309125409.0,83,131
High Life,2018,R,"['Adventure', ' Drama', ' Horror']",5.8,77,26350,1225852.0,58,113
Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",5.6,38,104070,80001807.0,56,114
Serenity,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.8,74,280267,25514517.0,78,119
Fantastic Four,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",5.7,40,308438,154696080.0,57,106
Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",7.6,80,240652,608581744.0,76,118
Zombieland,2009,R,"['Adventure', ' Comedy', ' Fantasy']",7.6,73,512008,75590286.0,76,88
In Time,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",6.7,53,364524,37520095.0,67,109
Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",7.1,70,297146,216648740.0,71,118
The League of Extraordinary Gentlemen,2003,PG-13,"['Action', ' Adventure', ' Fantasy']",5.8,30,164626,66465204.0,58,110
The Matrix Reloaded,2003,R,"['Action', ' Sci-Fi']",7.2,62,507034,281492479.0,72,138
Big Hero 6,2014,PG,"['Animation', ' Action', ' Adventure']",7.8,74,402028,222527828.0,78,102
Star Trek Beyond,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.1,68,223900,158848340.0,71,122
Phineas and Ferb the Movie: Candace Against the Universe,2020,,"['Animation', ' Adventure', ' Comedy']",7.3,77,1873,,73,86
World War Z,2013,PG-13,"['Action', ' Adventure', ' Horror']",7.0,63,591502,202359711.0,70,116
Brightburn,2019,R,"['Drama', ' Horror', ' Mystery']",6.1,44,74899,17300439.0,61,90
Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.7,42,390496,201573391.0,67,151
Deep Impact,1998,PG-13,"['Action', ' Drama', ' Romance']",6.2,40,161258,140464664.0,62,120
X-Men: The Last Stand,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.7,58,476293,234362462.0,67,104
Independence Day,1996,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.0,59,521020,306169255.0,70,145
Predestination,2014,R,"['Action', ' Drama', ' Sci-Fi']",7.5,69,246722,68372.0,75,97
Star Wars: Episode II - Attack of the Clones,2002,PG,"['Action', ' Adventure', ' Fantasy']",6.5,54,627299,310675583.0,65,142
Face/Off,1997,R,"['Action', ' Crime', ' Sci-Fi']",7.3,82,344215,112225777.0,73,138
Battleship,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.8,41,233807,65422625.0,58,131
Tron,2010,PG,"['Action', ' Adventure', ' Sci-Fi']",6.8,49,309578,172062763.0,68,125
War of the Worlds,2005,PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",6.5,73,409862,234280354.0,65,116
Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",6.3,52,206955,37771017.0,63,106
Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",6.2,67,91452,29258869.0,62,101
The Vast of Night,2019,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",6.7,84,19854,,67,91
Power Rangers,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.9,44,100209,85364450.0,59,124
Resident Evil,2002,R,"['Action', ' Horror', ' Sci-Fi']",6.7,33,243722,40119709.0,67,100
Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.2,59,490673,336530303.0,62,139
Lucy,2014,R,"['Action', ' Sci-Fi', ' Thriller']",6.4,61,435218,126663600.0,64,89
28 Days Later...,2002,R,"['Drama', ' Horror', ' Sci-Fi']",7.6,73,370248,45064915.0,76,113
Gravity,2013,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",7.7,96,757270,274092705.0,77,91
Star Trek Into Darkness,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.7,72,459062,228778661.0,77,132
Masters of the Universe,1987,,"['Action', ' Adventure', ' Fantasy']",5.4,35,36261,17336370.0,54,106
What Happened to Monday,2017,,"['Action', ' Adventure', ' Crime']",6.9,47,100120,,69,123
Terminator Genisys,2015,PG-13,"['Action', ' Adventure', ' Fantasy']",6.3,38,255428,89760956.0,63,126
The Hunger Games: Mockingjay - Part 2,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.5,65,278407,281723902.0,65,137
Кара киiмдiлер 3,2012,PG-13,"['Action', ' Adventure', ' Comedy']",6.8,58,330331,179020854.0,68,106
Okja,2017,,"['Action', ' Adventure', ' Drama']",7.3,75,100115,,73,120
Green Lantern,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.5,39,263758,116601172.0,55,114
"Honey, I Shrunk the Kids",1989,,"['Adventure', ' Comedy', ' Family']",6.4,63,140058,130724172.0,64,93
Superman,1978,PG,"['Action', ' Adventure', ' Drama']",7.3,80,156761,134218018.0,73,143
Hellboy,2019,R,"['Action', ' Adventure', ' Fantasy']",5.2,31,75054,21903748.0,52,120
Crawl,2019,R,"['Action', ' Drama', ' Horror']",6.2,60,62653,39014193.0,62,87
The Predator,2018,R,"['Action', ' Adventure', ' Sci-Fi']",5.3,48,113512,51024708.0,53,107
Demolition Man,1993,R,"['Action', ' Sci-Fi', ' Thriller']",6.7,34,155946,58055768.0,67,115
Pacific Rim,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.9,65,460469,101802906.0,69,131
The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",7.6,30,445162,57938693.0,76,113
They Live,1988,,"['Action', ' Horror', ' Sci-Fi']",7.3,55,107060,13008928.0,73,94
Geostorm,2017,PG-13,"['Action', ' Sci-Fi', ' Thriller']",5.3,21,91178,33700160.0,53,109
The Island,2005,PG-13,"['Action', ' Sci-Fi', ' Thriller']",6.8,50,297722,35818913.0,68,136
Жана Ормекшi-адам,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.9,66,550976,262030663.0,69,136
The Mist,2007,R,"['Horror', ' Sci-Fi', ' Thriller']",7.1,58,276552,25593755.0,71,126
G.I. Joe: Retaliation,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.8,41,171543,122523060.0,58,110
WarGames,1983,,"['Action', ' Adventure', ' Drama']",7.1,77,88824,79568000.0,71,114
2012,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.8,49,347957,166112167.0,58,158
Planet of the Apes,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.7,50,208219,180011740.0,57,119
Barbarella,1968,,"['Adventure', ' Comedy', ' Fantasy']",5.9,51,31734,,59,98
Waterworld,1995,PG-13,"['Action', ' Adventure', ' Sci-Fi']",6.2,56,177546,88246220.0,62,135
Doom,2005,R,"['Action', ' Horror', ' Sci-Fi']",5.2,34,105281,28212337.0,52,105
In the Shadow of the Moon,2019,,"['Crime', ' Mystery', ' Sci-Fi']",6.2,48,37392,,62,115
RoboCop,1987,,"['Action', ' Crime', ' Sci-Fi']",7.5,67,228830,53424681.0,75,102
Code 8,2019,,"['Action', ' Crime', ' Drama']",6.1,48,31337,,61,98
Jurassic Park III,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",5.9,42,291590,181171875.0,59,92
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,"['Action', ' Adventure', ' Comedy']",6.0,40,82886,82051601.0,60,112
Spider-Man 2,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.3,83,533848,373585825.0,73,127
Hotel Artemis,2018,R,"['Action', ' Crime', ' Drama']",6.1,58,42554,6708147.0,61,94
Earth Girls Are Easy,1988,,"['Comedy', ' Musical', ' Romance']",5.4,66,19937,3916303.0,54,100
Ghostbusters,2016,PG-13,"['Action', ' Comedy', ' Fantasy']",6.5,60,200532,128344089.0,65,117
Battlestar Galactica,1979,,"['Action', ' Adventure', ' Sci-Fi']",7.2,39,13494,,72,60
Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",7.8,63,212349,3600.0,78,141
