movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Grown Ups 2,2013,PG-13,['Comedy'],5.4,19,138008,133668525.0,54,101
Bad Education,2019,,"['Biography', ' Comedy', ' Crime']",7.1,79,24984,,71,108
Legally Blonde,2001,,"['Comedy', ' Romance']",6.3,59,180753,96520674.0,63,96
The Blues Brothers,1980,,"['Action', ' Adventure', ' Comedy']",7.9,60,179417,57229890.0,79,133
Zootopia,2016,PG,"['Animation', ' Adventure', ' Comedy']",8.0,78,422663,341268248.0,80,108
Practical Magic,1998,PG-13,"['Comedy', ' Drama', ' Fantasy']",6.3,46,70745,46683377.0,63,104
Ant-Man,2015,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,64,555618,180202163.0,73,117
Back to the Future Part III,1990,,"['Adventure', ' Comedy', ' Sci-Fi']",7.4,55,395595,87727583.0,74,118
Pineapple Express,2008,R,"['Action', ' Comedy', ' Crime']",6.9,64,311743,87341380.0,69,111
Scooby-Doo,2002,PG,"['Adventure', ' Comedy', ' Family']",5.1,35,96861,153288182.0,51,89
La vita è bella,1997,PG-13,"['Comedy', ' Drama', ' Romance']",8.6,59,607854,57598247.0,86,116
Jennifer's Body,2009,R,"['Comedy', ' Horror']",5.2,47,113285,16204793.0,52,102
Kick-Ass,2010,R,"['Action', ' Comedy', ' Crime']",7.6,66,518499,48071303.0,76,117
Pitch Perfect 3,2017,PG-13,"['Comedy', ' Music']",5.8,40,54326,104897530.0,58,93
Adventures in Babysitting,1987,,"['Adventure', ' Comedy', ' Crime']",6.9,45,37141,34368475.0,69,102
The Mask,1994,PG-13,"['Action', ' Comedy', ' Crime']",6.9,56,339892,119938730.0,69,101
The Hangover,2009,R,['Comedy'],7.7,73,707273,277322503.0,77,100
A League of Their Own,1992,PG,"['Comedy', ' Drama', ' Family']",7.3,67,91893,107533928.0,73,128
Hackers,1995,PG-13,"['Comedy', ' Crime', ' Drama']",6.3,46,64549,7564000.0,63,105
The Kissing Booth 2,2020,,"['Comedy', ' Romance']",5.9,39,16257,,59,134
Never Been Kissed,1999,PG-13,"['Comedy', ' Drama', ' Romance']",6.1,60,82018,55474756.0,61,107
Finding Nemo,2003,,"['Animation', ' Adventure', ' Comedy']",8.1,90,930460,380843261.0,81,100
Ghostbusters,1984,,"['Action', ' Comedy', ' Fantasy']",7.8,71,348086,238632124.0,78,105
What We Do in the Shadows,2014,R,"['Comedy', ' Horror']",7.7,76,151547,3333000.0,77,86
Vice,2018,R,"['Biography', ' Comedy', ' Drama']",7.2,61,114157,47836282.0,72,132
Grease 2,1982,,"['Comedy', ' Drama', ' Musical']",4.4,52,32293,15171476.0,44,115
The Descendants,2011,R,"['Comedy', ' Drama']",7.3,84,230430,82584160.0,73,115
Charlie's Angels: Full Throttle,2003,PG-13,"['Action', ' Adventure', ' Comedy']",4.9,48,119633,100830111.0,49,106
True Lies,1994,R,"['Action', ' Comedy', ' Thriller']",7.2,63,233310,146282411.0,72,141
Good Boys,2019,R,"['Adventure', ' Comedy']",6.7,60,56648,69056735.0,67,90
Hot Fuzz,2007,R,"['Action', ' Comedy', ' Mystery']",7.8,81,455381,23637265.0,78,121
Pretty Woman,1990,R,"['Comedy', ' Romance']",7.0,51,282516,178406268.0,70,119
Spenser Confidential,2020,R,"['Action', ' Comedy', ' Crime']",6.2,49,62267,,62,111
Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",6.4,63,160269,50287556.0,64,101
"Crazy, Stupid, Love.",2011,PG-13,"['Comedy', ' Drama', ' Romance']",7.4,68,463786,84351197.0,74,118
The Favourite,2018,R,"['Biography', ' Comedy', ' Drama']",7.5,91,164813,34366783.0,75,119
Une fille facile,2019,,"['Comedy', ' Drama']",5.5,78,3063,,55,92
The Rocky Horror Picture Show,1975,,"['Comedy', ' Musical']",7.4,65,129177,139876417.0,74,100
Lost in Translation,2003,R,"['Comedy', ' Drama']",7.7,89,404925,44585453.0,77,102
Malèna,2000,R,"['Comedy', ' Drama', ' Romance']",7.5,54,88112,3429045.0,75,108
Midnight in Paris,2011,PG-13,"['Comedy', ' Fantasy', ' Romance']",7.7,81,381149,56816662.0,77,96
Valley Girl,1983,,"['Comedy', ' Romance']",6.4,66,13120,16797122.0,64,99
Work It,2020,,"['Comedy', ' Music']",6.1,58,7275,,61,93
The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",5.5,53,47277,6563605.0,55,104
The Nice Guys,2016,R,"['Action', ' Comedy', ' Crime']",7.4,70,271242,36261763.0,74,116
Birdman or (The Unexpected Virtue of Ignorance),2014,R,"['Comedy', ' Drama']",7.7,87,568150,42340598.0,77,119
Young Frankenstein,1974,,['Comedy'],8.0,80,140863,86300000.0,80,106
Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",6.6,66,142322,438653.0,66,84
The Producers,2005,PG-13,"['Comedy', ' Crime', ' Musical']",6.3,52,40421,19377727.0,63,134
Toy Story,1995,,"['Animation', ' Adventure', ' Comedy']",8.3,95,867129,191796233.0,83,81
50 First Dates,2004,PG-13,"['Comedy', ' Drama', ' Romance']",6.8,48,321295,120908074.0,68,99
Game Night,2018,R,"['Action', ' Comedy', ' Crime']",6.9,66,199539,69179066.0,69,100
The Proposal,2009,PG-13,"['Comedy', ' Drama', ' Romance']",6.7,48,290199,163958031.0,67,108
Shrek,2001,PG,"['Animation', ' Adventure', ' Comedy']",7.8,84,601721,267665011.0,78,90
Dumb and Dumber,1994,,['Comedy'],7.3,41,348077,127175354.0,73,107
Superbad,2007,R,['Comedy'],7.6,76,512514,121463226.0,76,113
We're the Millers,2013,R,"['Comedy', ' Crime']",7.0,44,396310,150394119.0,70,110
My Cousin Vinny,1992,R,"['Comedy', ' Crime']",7.6,68,104501,52929168.0,76,120
Scary Movie,2000,R,['Comedy'],6.2,48,228854,157019771.0,62,88
The Lobster,2015,R,"['Comedy', ' Drama', ' Romance']",7.2,82,211141,8699235.0,72,119
Sweet Home Alabama,2002,PG-13,"['Comedy', ' Romance']",6.2,45,100865,127223418.0,62,108
Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",7.3,71,508088,250690539.0,73,98
The 40 Year Old Virgin,2005,R,"['Comedy', ' Romance']",7.1,73,388901,109449237.0,71,116
Without a Paddle,2004,PG-13,"['Adventure', ' Comedy', ' Mystery']",5.9,29,43832,58169327.0,59,95
The Wrong Missy,2020,,"['Comedy', ' Romance']",5.7,33,29195,,57,90
Matilda,1996,PG,"['Comedy', ' Family', ' Fantasy']",6.9,72,124273,33084249.0,69,98
Spaceballs,1987,,"['Adventure', ' Comedy', ' Sci-Fi']",7.1,46,169200,38119483.0,71,96
The Intouchables,2011,R,"['Biography', ' Comedy', ' Drama']",8.5,57,739168,13182281.0,85,112
Dodgeball: A True Underdog Story,2004,PG-13,"['Comedy', ' Sport']",6.7,55,225992,114326736.0,67,92
Pretty in Pink,1986,,"['Comedy', ' Drama', ' Romance']",6.8,56,73108,40471663.0,68,97
Christopher Robin,2018,PG,"['Comedy', ' Drama', ' Family']",7.3,60,66398,99215042.0,73,104
Kill Me Three Times,2014,R,"['Action', ' Comedy', ' Crime']",5.9,30,19836,23840.0,59,90
The Longest Yard,2005,PG-13,"['Comedy', ' Crime', ' Sport']",6.4,48,159787,158119460.0,64,113
He's Just Not That Into You,2009,PG-13,"['Comedy', ' Drama', ' Romance']",6.4,47,160015,93953653.0,64,129
Anomalisa,2015,R,"['Animation', ' Comedy', ' Drama']",7.3,88,64495,3759286.0,73,90
Beverly Hills Cop,1984,,"['Action', ' Comedy', ' Crime']",7.3,66,159997,234760478.0,73,105
Cat Ballou,1965,,"['Comedy', ' Romance', ' Western']",6.8,60,13085,20666667.0,68,97
A Nice Girl Like You,2020,R,"['Comedy', ' Romance']",5.1,41,1223,,51,94
21 Jump Street,2012,R,"['Action', ' Comedy', ' Crime']",7.2,69,503200,138447667.0,72,109
Instant Family,2018,PG-13,"['Comedy', ' Drama']",7.3,57,77680,67363237.0,73,118
Office Space,1999,R,['Comedy'],7.7,68,238154,10824921.0,77,89
Heathers,1989,,"['Comedy', ' Crime']",7.2,72,86450,1108462.0,72,103
Old School,2003,R,['Comedy'],7.1,54,212175,75585093.0,71,88
Babyteeth,2019,,"['Comedy', ' Drama']",7.0,77,4763,,70,118
Blended,2014,PG-13,"['Comedy', ' Romance']",6.5,31,116232,46294610.0,65,117
The Girl Next Door,2004,R,"['Comedy', ' Drama', ' Romance']",6.7,47,198795,14589444.0,67,109
